Website Name,Website URL,Contact Name,Subject Line,Email Body,Status
"Biohacker's Guide","biohackersguide.com","Dave","New Data: Are Your Readers Taking the Right Cordyceps Dose?","Hi Dave,\n\nI noticed your recent deep dive on nootropics and thought your audience would appreciate a more precise approach to functional mushrooms.\n\nWe've just launched the first-of-its-kind **Functional Mushroom Goal-Based Calculator** at Synervion. Unlike generic dosage advice, our tool uses science-backed data to recommend specific Cordyceps dosages based on activity level, energy needs, and health goals (Endurance, Recovery, Focus).\n\nYou can check it out here: [Link to Calculator]\n\nIt references our Science Hub for all claims. I'd love for you to share this as a resource for your readers who are looking to optimize their stack.\n\nBest,\n[Your Name]","Ready to Send"
"Endurance Planet","enduranceplanet.com","Tawnee","Runner's Lung? Calculate Your Optimal Cordyceps Dose","Hi Tawnee,\n\nLove the recent episode on VO2 max training. It got me thinking about how many athletes under-dose their supplements.\n\nWe built a **Cordyceps Goal Planner** specifically for endurance athletes. It calculates the optimal dosage to support oxygen utilization and recovery based on training intensity.\n\nGive it a spin: [Link to Calculator]\n\nWould be a great tool to link in your show notes or resources page for athletes looking for that natural edge.\n\nCheers,\n[Your Name]","Ready to Send"
"Mind Body Green","mindbodygreen.com","Jason","Stop Guessing: New Tool for Mushroom Dosage","Hi Jason,\n\nFunctional mushrooms are everywhere, but most people are just guessing with their dosage.\n\nSynervion just released a free **Interactive Dosage Calculator** that takes the guesswork out of Cordyceps. It tailors recommendations to the user's specific wellness goals—whether that's immune support or mental focus.\n\nHere is the tool: [Link to Calculator]\n\nWe'd love to see this featured in your next wellness tech roundup.\n\nWarmly,\n[Your Name]","Ready to Send"
"The Daily Run","thedailyrun.com","Sarah","Boost Your Run: Personalized Cordyceps Calculator","Hi Sarah,\n\nAs a runner, I know how important lung capacity is. That's why we built a tool to help runners get the most out of Cordyceps.\n\nOur new **Goal-Based Calculator** helps runners find their sweet spot for dosage to maximize airflow and endurance.\n\nCheck it out: [Link to Calculator]\n\nThink your community would find this super useful?\n\nBest,\n[Your Name]","Ready to Send"
"Nootropics Depot Blog","nootropicsdepot.com/blog","Paul","Data-Driven Cordyceps Dosing for Focus","Hi Paul,\n\nBig fan of your objective breakdowns of supplements.\n\nWe've taken a similar data-driven approach with our new **Cordyceps Dosage Calculator**. It helps users dial in their dose specifically for cognitive benefits, avoiding the 'jittery' side effects of stimulants.\n\nPreview it here: [Link to Calculator]\n\nWould love a mention as a resource for your biohacking audience.\n\nRegards,\n[Your Name]","Ready to Send"
"Wellness Mama","wellnessmama.com","Katie","A Better Way to Take Mushrooms (New Tool)","Hi Katie,\n\nI know you love practical health tools for families. We've just launched a simple calculator to help people use Cordyceps safely and effectively.\n\nIt's called the **Functional Mushroom Goal-Based Calculator**, and it customizes dosage for energy and immunity without the guesswork.\n\nLink: [Link to Calculator]\n\nWould be a great addition to your resources on natural remedies.\n\nBest,\n[Your Name]","Ready to Send"
"Trail Runner Mag","trailrunnermag.com","Zoie","Elevation Training & Cordyceps: New Calculator","Hi Zoie,\n\nFor trail runners dealing with elevation, every bit of oxygen counts. We built a tool to help them optimize their Cordyceps intake for lung capacity.\n\nOur **Cordyceps Goal Planner** is live now: [Link to Calculator]\n\nIt's a free utility that I think your readers would get a lot of value from.\n\nThanks,\n[Your Name]","Ready to Send"
"Men's Health","menshealth.com","Editor","New Tech: Optimize Your Supplement Stack","Hi Team,\n\nSupplements are getting smarter. Synervion just launched a **Smart Dosage Calculator** for Cordyceps militaris.\n\nIt uses user data (activity, energy, goals) to prescribe a precise regimen for muscle recovery and endurance.\n\nCheck it out: [Link to Calculator]\n\nPerfect for a 'Tech in Health' sidebar or online feature.\n\nBest,\n[Your Name]","Ready to Send"
"Women's Running","womensrunning.com","Editor","Fueling the Female Athlete: Cordyceps Calculator","Hi Team,\n\nWe've developed a tool that helps female athletes tailor their natural supplementation for better energy levels.\n\nOur **Cordyceps Goal Planner** accounts for activity level and energy needs to suggest the right support for training.\n\nLink: [Link to Calculator]\n\nWould love to see this shared with your community.\n\nBest,\n[Your Name]","Ready to Send"
"Self Hacked","selfhacked.com","Joe","Quantify Your Mushroom Intake","Hi Joe,\n\nYour audience loves data. So do we.\n\nWe built a **Cordyceps Dosage Calculator** that moves beyond 'take 2 capsules' to a personalized mg-based recommendation based on physiological goals.\n\nTry it: [Link to Calculator]\n\nA link to this tool would add great value to your Cordyceps deep dive.\n\nCheers,\n[Your Name]","Ready to Send"
"Bulletproof Blog","bulletproof.com/blog","Dave","Upgrade Your Mushroom Coffee Routine","Hi Dave,\n\nAdding mushrooms to coffee is great, but are people taking enough?\n\nOur new **Dosage Calculator** helps biohackers determine exactly how much Cordyceps they need for that mental edge.\n\nHere it is: [Link to Calculator]\n\nWould fit perfectly in your next biohacking roundup.\n\nBest,\n[Your Name]","Ready to Send"
"Healthline","healthline.com","Editor","Resource: Cordyceps Dosage Calculator","Hi Team,\n\nI'm writing to share a new free tool that helps users safely determine Cordyceps dosage.\n\nThe **Synervion Goal-Based Calculator** is based on current research and helps users avoid under-dosing.\n\nLink: [Link to Calculator]\n\nThis would be a valuable external resource for your Cordyceps overview pages.\n\nThanks,\n[Your Name]","Ready to Send"
"Greatist","greatist.com","Editor","Make Your Mushrooms Work Harder","Hi Team,\n\nFunctional mushrooms are trending, but are they working? Often, the dose is wrong.\n\nWe built a calculator to fix that. It matches Cordyceps intake to your workout intensity.\n\nCheck it out: [Link to Calculator]\n\nFun, interactive, and useful for your readers.\n\nBest,\n[Your Name]","Ready to Send"
"Shape","shape.com","Editor","Personalized Energy: New Cordyceps Tool","Hi Team,\n\nForget energy drinks. We've built a tool to help readers get natural, sustained energy from Cordyceps.\n\nOur **Goal-Based Calculator** personalizes the experience.\n\nLink: [Link to Calculator]\n\nWould love a shoutout in your wellness section.\n\nBest,\n[Your Name]","Ready to Send"
"Well+Good","wellandgood.com","Editor","The Future of Personalized Supplements","Hi Team,\n\nPersonalization is the future of wellness. We're bringing it to mushrooms.\n\nMeet the **Synervion Cordyceps Calculator**: [Link to Calculator]\n\nIt tells you exactly what you need for your specific body and goals. A great resource for your trend-conscious readers.\n\nBest,\n[Your Name]","Ready to Send"
"Triathlete","triathlete.com","Editor","Swim, Bike, Run, Dose: New Calculator","Hi Team,\n\nTriathletes love data. We made a tool that calculates the perfect Cordyceps dosage for their grueling training blocks.\n\n**The Cordyceps Goal Planner**: [Link to Calculator]\n\nWould be a solid addition to your nutrition resources.\n\nCheers,\n[Your Name]","Ready to Send"
"Breaking Muscle","breakingmuscle.com","Editor","Recovery Math: Cordyceps Calculator","Hi Team,\n\nRecovery is math. We built a calculator to help lifters get the numbers right for their natural recovery supplements.\n\nCheck out our **Cordyceps Dosage Tool**: [Link to Calculator]\n\nUseful for anyone serious about gains and recovery.\n\nBest,\n[Your Name]","Ready to Send"
"BarBend","barbend.com","Editor","Supplements for Strength: New Tool","Hi Team,\n\nStrength athletes have different needs. Our new calculator adjusts Cordyceps dosage specifically for high-intensity power output.\n\nLink: [Link to Calculator]\n\nYour readers would appreciate the precision.\n\nBest,\n[Your Name]","Ready to Send"
